<LINE 1>
Injongo	i[NPrePre9]-n[BPre9]-jongo[NStem]
ye-website	ya[PossConc9]-i[NPrePre9]-website[Foreign]
yaseMzantsi	ya[PossConc9]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
kukuvelisa	ku[SC15]-u[NPrePre15]-ku[BPre15]-vel[VRoot]-is[CausExt]-a[VerbTerm]
umthombo	u[NPrePre3]-m[BPre3]-thombo[NStem]
omnye	om[AdjPref3]-nye[AdjStem]
wenkcazelo	wa[PossConc3]-i[NPrePre9]-n[BPre9]-kcazelo[NStem]
malunga	malunga[Adv]
neenkonzo	na[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ezinikwa	ezi[RelConc10]-nik[VRoot]-w[PassExt]-a[VerbTerm]
ngurhulumente	ng[CopPre]-u[NPrePre1a]-rhulumente[NStem]
waseMzantsi	wa[PossConc3]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
.	.[Punc]
<LINE 2>
Le	le[Dem9][Pos1]
website	website[Foreign]
ijolise	i[SC9]-jolis[VRoot]-e[VerbTerm]
ekubeni	e[LocPre]-ukuba[Conj]-ini[LocSuf]
inciphise	i[SC9]-nciph[VRoot]-is[CausExt]-e[VerbTerm]
umsantsa	u[NPrePre3]-m[BPre3]-santsa[NStem]
wokwahluka	wa[PossConc3]-u[NPrePre15]-ku[BPre15]-ahluk[VRoot]-a[VerbTerm]
okukhoyo	oku[RelConc15]-kho[Adv]-yo[RelSuf]
phakathi	phakathi[Adv]
kwabantu	kwa[PossConc15]-a[NPrePre2]-ba[BPre2]-ntu[NStem]
abanikwe	aba[RelConc2]-nik[VRoot]-w[PassExt]-e[VerbTerm]
amandla	a[NPrePre6]-ma[BPre6]-ndla[NStem]
kunye	kunye[Conj]
nabo	na[AdvPre]-abo[Dem2][Pos2]
bangenamandla	ba[RelConc2]-nge[NegExt]-na[CopPre]-ma[BPre6]-ndla[NStem]
,	,[Punc]
phakathi	phakathi[Adv]
koqoqosho	kwa[PossConc15]-u[NPrePre11]-lu[BPre11]-qoqosho[NStem]
lokuqala	lwa[PossConc5]-u[NPrePre15]-ku[BPre15]-qal[VRoot]-a[VerbTerm]
kunye	kunye[Conj]
nolwesibini	na[AdvPre]-olwa[PossConc11]-i[NPrePre7]-si[BPre7]-bini[AdjStem]
.	.[Punc]
<LINE 3>
Le	le[Dem9][Pos1]
website	website[Foreign]
ilungenelelo	i[CopPre]-l[CopPre]-u[NPrePre11]-lu[BPre11]-ngenelelo[NStem]
olubaluleke	olu[RelConc11]-balulek[VRoot]-e[VerbTerm]
kakhulu	ka[AdvPre]-khulu[AdjStem]
olujonge	olu[RelConc11]-jong[VRoot]-e[VerbTerm]
ekuqinisekiseni	e[LocPre]-u[NPrePre15]-ku[BPre15]-qinisek[VRoot]-is[CausExt]-a[VerbTerm]-ini[LocSuf]
ukuba	ukuba[Conj]
abemi	a[NPrePre2]-be[BPre2]-mi[NStem]
banako	ba[CopPre]-na[CopPre]-ko[PronStem15]
ukunxulumana	u[NPrePre15]-ku[BPre15]-nxuluman[VRoot]-a[VerbTerm]
norhulumente	na[AdvPre]-u[NPrePre1a]-rhulumente[NStem]
.	.[Punc]
<LINE 4>
I-website	i[NPrePre9]-website[Foreign]
ijolise	i[SC9]-jolis[VRoot]-e[VerbTerm]
kubasebenzisi	ku[LocPre]-a[NPrePre2]-ba[BPre2]-sebenzisi[NStem]
abangabemi	aba[RelConc2]-ng[CopPre]-a[NPrePre2]-be[BPre2]-mi[NStem]
baseMzantsi	ba[PossConc2]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
kuzo	ku[LocPre]-zo[PronStem10]
zonke	zo[QuantConc10]-nke[QuantStem]
iindawo	i[NPrePre10]-zin[BPre10]-dawo[NStem]
zelizwe	za[PossConc10]-i[NPrePre5]-li[BPre5]-zwe[NStem]
,	,[Punc]
amashishini	a[NPrePre6]-ma[BPre6]-shishini[NStem]
okanye	okanye[Conj]
imibutho	i[NPrePre4]-mi[BPre4]-butho[NStem]
yaseMzantsi	ya[PossConc4]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
,	,[Punc]
ekhoyo	e[RelConc4]-kho[Adv]-yo[RelSuf]
okanye	okanye[Conj]
enokubakhona	e[RelConc4]-na[CopPre]-u[NPrePre15]-ku[BPre15]-ba[VCop]-khona[Adv]
,	,[Punc]
kunye	kunye[Conj]
nabemi	na[AdvPre]-a[NPrePre2]-be[BPre2]-mi[NStem]
nemibutho	na[AdvPre]-i[NPrePre4]-mi[BPre4]-butho[NStem]
ekwamanye	e[RelConc4]-ku[LocPre]-ama[AdjPref6]-nye[AdjStem]
amazwe	a[NPrePre6]-ma[BPre6]-zwe[NStem]
,	,[Punc]
edinga	e[RelConc4]-ding[VRoot]-a[VerbTerm]
iinkonzo	i[NPrePre10]-zin[BPre10]-konzo[NStem]
kurhulumente	ku[LocPre]-u[NPrePre1a]-rhulumente[NStem]
waseMzantsi	wa[PossConc3]-s[PreLoc-s]-e[LocPre]-Mzantsi[ProperName]
Afrika	Afrika[ProperName]
.	.[Punc]
<LINE 5>
Icandelo	i[NPrePre5]-li[BPre5]-candelo[NStem]
elingundoqo	eli[RelConc5]-ng[CopPre]-u[NPrePre1a]-ndoqo[NStem]
labasebenzisi	la[PossConc5]-a[NPrePre2]-ba[BPre2]-sebenzisi[NStem]
libandakanya	li[SC5]-bandakany[VRoot]-a[VerbTerm]
izilamlisi	i[NPrePre8]-zi[BPre8]-lamlisi[NStem]
,	,[Punc]
ezifana	ezi[RelConc8]-fan[VRoot]-a[VerbTerm]
naMaziko	na[AdvPre]-a[NPrePre6]-ma[BPre6]-ziko[NStem]
abahlali	a[PossConc6]-ba[BPre2]-hlali[NStem]
eenkonzo	a[PossConc6]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
ngeeNkonzo	nga[AdvPre]-i[NPrePre10]-zin[BPre10]-konzo[NStem]
,	,[Punc]
abizwa	a[RelConc6]-biz[VRoot]-w[PassExt]-a[VerbTerm]
ngokuba	nga[AdvPre]-ukuba[Conj]
zii-Multi-purpose	z[CopPre]-i[NPrePre10]-zi[BPre10]-Multi-purpose[Foreign]
Community	Community[Foreign]
Centres	Centres[Foreign]
(	([Punc]
MPCCs	MPCCs[Abbr]
)	)[Punc]
,	,[Punc]
aBasebenzi	a[NPrePre2]-ba[BPre2]-sebenzi[NStem]
boPhuhliso	ba[PossConc2]-u[NPrePre11]-lu[BPre11]-phuhliso[NStem]
loLuntu	lwa[PossConc11]-u[NPrePre11]-lu[BPre11]-ntu[NStem]
,	,[Punc]
ekuthiwa	e[RelConc9]-ku[SCIndef]-th[VRoot]-iw[PassExt]-a[VerbTerm]
zii-Community	z[CopPre]-i[NPrePre10]-zi[BPre10]-Community[Foreign]
Development	Development[Foreign]
Workers	Workers[Foreign]
(	([Punc]
CDWs	CDWs[Abbr]
)	)[Punc]
kunye	kunye[Conj]
neZiko	na[AdvPre]-i[NPrePre5]-li[BPre5]-ziko[NStem]
lokuTsalela	la[PossConc5]-u[NPrePre15]-ku[BPre15]-tsal[VRoot]-el[ApplExt]-a[VerbTerm]
uMnxeba	u[NPrePre3]-m[BPre3]-nxeba[NStem]
ekuthiwa	e[RelConc9]-ku[SCIndef]-th[VRoot]-iw[PassExt]-a[VerbTerm]
yi-Batho	y[CopPre]-i[NPrePre9]-Batho[NStem]
Pele	Pele[ProperName]
Gateway	Gateway[Foreign]
Call	Call[Foreign]
Centre	Centre[Foreign]
,	,[Punc]
eziyakuncedisa	ezi[RelConc10]-ya[Fut]-ku[InfPre]-nced[VRoot]-is[CausExt]-a[VerbTerm]
ekuphembeleleni	e[LocPre]-u[NPrePre15]-ku[BPre15]-phembelel[VRoot]-a[VerbTerm]-ini[LocSuf]
ukusetyenziswa	u[NPrePre15]-ku[BPre15]-sebenz[VRoot]-is[CausExt]-w[PassExt]-a[VerbTerm]
kwe-website	kwa[PossConc15]-i[NPrePre9]-website[Foreign]
ngabo	nga[AdvPre]-abo[Dem2][Pos2]
bangakwaziyo	ba[RelConc2]-nga[NegExt]-ku[BPre2]-az[VRoot]-i[VerbTerm]-yo[RelSuf]
ukusebenzisa	u[NPrePre15]-ku[BPre15]-sebenz[VRoot]-is[CausExt]-a[VerbTerm]
i-Internet	i[NPrePre9]-Internet[Foreign]
